rule,bp,train,test,t_test,test_stress,win%,early%,wick%,dbp
stop 5% armed after 60m,102.44058239903195,109.71189861290098,90.57516507212935,3.212302778817215,73.92450233280685,49.13262451035255,40.12311135982093,21.75732217573222,-26.988613097557387
stop 5% RTH-only,117.68809573200573,128.15356485907625,100.61042298856819,3.374725417629572,84.4678603965211,51.4829322887521,36.03805260212647,15.372670807453417,-11.741099764583593
hard stop 8% (next-close fill),98.88479885298833,113.82802512488861,74.50027056246476,2.5011854947595324,59.88200841224388,52.21040850587577,26.13318410744264,22.269807280513916,-30.54439664360102
hard stop 8% (level fill),71.58387590938815,90.42760426939056,40.83446350455359,1.3487576774949985,26.216201354332718,50.58757694459989,26.13318410744264,22.698072805139187,-57.8453195872012
confirm 5m close < -8%,116.15344521555193,133.73569948630978,87.46252072070695,2.8427359489826594,74.0150980402946,54.11303861219922,19.69781757134863,12.215909090909092,-13.275750281037443
confirm 15m close < -8%,120.23090696008617,138.97963875919993,89.63651103458098,2.8983086410694465,76.4320927724308,54.8964745383324,17.79518746502518,9.119496855345911,-9.19828853650318
dwell 5min beyond -8%,121.2656635427887,133.51506244003522,101.27695370751756,3.286850650932643,88.13880937762069,54.78455512031337,17.96306659205372,9.657320872274143,-8.163531953800645
dwell 10min beyond -8%,129.64560344558657,146.4639521127141,102.20122889009711,3.283303905668965,89.23981504620907,55.45607162842753,16.396194739787354,6.484641638225256,0.21640794899721721
stop 8% armed after 30m,111.94205192154925,127.64722944955665,86.31416281840903,2.8802504660662542,72.09354426170803,53.385562395075546,24.00671516508114,17.482517482517483,-17.48714357504011
stop 8% armed after 60m,113.4018834822302,126.20710617663009,92.5061739897485,3.080824846774685,78.55065116206079,53.66536094012311,22.887520984890877,15.647921760391197,-16.027312014359136
stop 8% RTH-only,129.06667626064444,140.03722785476737,111.16480414534509,3.583058681095469,97.49646835742172,54.67263570229435,20.705092333519865,8.91891891891892,-0.3625192359449304
"vwap stop band 0bp (5m confirm, 30m arm)",82.01959546963957,82.39633889785372,81.40482121564655,3.9343568770145256,57.19893019944625,44.71180749860101,93.56463346390599,45.57416267942584,-47.409600026949775
"vwap stop band 25bp (5m confirm, 30m arm)",90.31416997398934,89.51605601565927,91.61654149951173,4.3078454112675555,67.78620276608021,43.76049244543928,90.76664801343033,44.45129469790382,-39.11502552260001
"vwap stop band 50bp (5m confirm, 30m arm)",94.92823869428017,92.2015556179908,99.3776714608908,4.4612888647633895,75.98915894248138,43.256855064353665,87.40906547285954,43.085787451984636,-34.50095680230917
trail 3% from MFE,47.20273285303917,44.38307806207003,51.80387793167512,3.7092230194107834,26.82479103918615,45.1035254616676,96.9781757134863,47.547605308713216,-82.22646264355019
trail 3% armed at +3%,91.60379574724116,92.85759485229228,89.55783196462468,4.309355057706083,68.7319114933434,69.61387800783436,68.04700615556798,52.87828947368421,-37.82539974934817
