rule,bp,train,test,t_test,test_stress,win%,early%,wick%,dbp
dwell 5min beyond -3%,25.86050505212748,10.850700436797098,50.40801860311435,1.8626954492704357,32.345646714388174,41.0,52.61111111111111,21.119324181626187,-7.955612654198604
dwell 10min beyond -3%,24.114711412916797,6.7935901535937395,52.44222597611424,1.8654610175246134,35.03871206689026,43.05555555555556,49.44444444444444,18.314606741573034,-9.701406293409288
stop 3% armed after 30m,18.6194155043059,14.033542686113757,26.11929828310624,1.0532635348813737,6.673324637425446,37.94444444444444,61.111111111111114,27.727272727272727,-15.196702202020182
stop 3% armed after 60m,25.781957210307347,13.966674835185495,45.105047126868264,1.6809976613839566,26.274007595389516,40.166666666666664,57.77777777777777,24.23076923076923,-8.034160496018739
stop 3% RTH-only,33.814699445417894,13.544631954119744,66.96501480087916,2.2186305204301657,49.07833837335356,43.77777777777778,52.888888888888886,17.857142857142858,-0.0014182609081962265
hard stop 5% (next-close fill),8.795369813951659,-8.953701925530755,37.82276825172891,1.4190465215501906,19.606662834452223,41.44444444444444,51.72222222222223,26.852846401718583,-25.020747892374427
hard stop 5% (level fill),-27.17100373283092,-43.77291827142176,-0.019702796365362218,-0.0007443059522549985,-18.25777014629212,37.94444444444444,51.83333333333333,27.331189710610932,-60.98712143915701
confirm 5m close < -5%,21.23201141228504,0.18641400786756196,55.650653141032244,1.919980709609066,39.213464268411464,45.44444444444444,40.833333333333336,17.006802721088434,-12.58410629404105
confirm 15m close < -5%,19.467571471778257,-1.8194550783678047,54.281054131387585,1.794681857191265,38.32702777706844,46.77777777777778,37.27777777777778,14.456035767511178,-14.348546234547833
dwell 5min beyond -5%,24.70498586962402,3.797322279497123,58.898046235907685,1.9902257928897122,42.85617215098825,46.833333333333336,37.833333333333336,13.950073421439061,-9.11113183670207
dwell 10min beyond -5%,28.618312777980854,6.6539294721194615,64.53956629576588,2.1215601046259507,48.95889279649797,47.888888888888886,34.88888888888889,12.101910828025478,-5.197804928345245
stop 5% armed after 30m,20.376848949645378,2.4024564432539908,49.77274416141577,1.774412335336958,32.413154117491935,44.05555555555555,46.666666666666664,21.19047619047619,-13.439268756680706
stop 5% armed after 60m,23.972521768365194,1.1111166150864116,61.360793446567826,2.1317144008621995,44.594175584195966,45.111111111111114,44.333333333333336,18.796992481203006,-9.843595937960899
stop 5% RTH-only,22.749883886598596,0.7981432649656076,58.65046115506719,1.8814646142100726,42.21327228244643,46.88888888888889,41.27777777777778,13.593539703903096,-11.0662338197275
hard stop 8% (next-close fill),15.860194146411944,-5.536509164793353,50.853045681721355,1.717976201484088,35.95319209460571,47.55555555555556,29.555555555555557,20.48872180451128,-17.95592355991415
hard stop 8% (level fill),-11.620789725996264,-28.030275578967206,15.215807196066011,0.5078842507563168,0.3159536089503828,46.0,29.555555555555557,20.676691729323306,-45.436907432322364
confirm 5m close < -8%,32.359985748217106,13.123413494726472,63.82009000465787,2.047525389118342,50.06225691534606,49.77777777777778,23.0,10.144927536231885,-1.4561319581089898
confirm 15m close < -8%,32.855677173391214,19.174740759702516,55.22991725258637,1.7399456260446808,41.64777962447515,50.33333333333333,20.944444444444443,8.488063660477453,-0.9604405329348784
dwell 5min beyond -8%,33.862051357653776,12.572652473874914,68.6794138074063,2.1719285042065306,55.272971640495676,50.27777777777778,20.944444444444443,8.753315649867375,0.045933651327683615
dwell 10min beyond -8%,37.853716558872954,16.876931251629568,72.1598207875565,2.275486391618895,58.92907408184646,50.77777777777778,19.5,6.837606837606838,4.037598852546862
stop 8% armed after 30m,26.588008996653468,6.002338971540778,60.254470809319464,2.008228761405543,45.79385587520529,48.77777777777778,27.38888888888889,16.024340770791078,-7.228108709672633
stop 8% armed after 60m,24.81016319443119,3.5700073154763925,59.5469920623558,1.9664353798454128,45.349920320042514,48.888888888888886,26.222222222222225,15.254237288135593,-9.005954511894908
stop 8% RTH-only,34.02080724609149,5.991421773327486,79.86095889042151,2.4858774945648956,66.03724000315948,50.27777777777778,23.72222222222222,7.728337236533958,0.20468953976540138
"vwap stop band 0bp (5m confirm, 30m arm)",15.046959367655468,8.822726656021537,25.226268209375977,1.167189115931051,1.0804409765794973,39.611111111111114,93.88888888888889,41.65680473372781,-18.769158338670618
