rule,sharpe_all,cagr,maxdd,bp,win%,sh_train,sh_test,n,avg_hz
reversal T+3 if d1>-2%,1.8550626236015864,45.39651515740684,18.552125335103074,156.18134810309184,53.04980414101846,1.1646215682284389,1.0116081547130824,1787,2.3665360940123112
runner T+5 if d1>2%,1.6111427490956227,34.963915194640464,14.01041107340567,137.50953615634768,49.86010072747622,1.0180249023457437,1.0084652421342772,1787,2.855623950755456
T+1 sl=- tp=15.0,1.9086478051793054,37.17059286094151,18.339354059890844,128.53120043223194,56.85506435366536,1.2951957643086667,1.002984521412645,1787,1.0
rev T+5 sl=- tp=20.0,1.5882177718213653,32.06128831646098,20.082977946974967,130.90605894187775,46.44655847789592,0.8469253809406341,1.0025887797432007,1787,3.289871292669278
rev T+3 sl=15.0 tp=10.0,1.574344715372995,27.03205358446745,15.13559202352207,105.91294973301085,51.203133743704534,0.8889776467923127,0.9950998044485354,1787,2.144935646334639
T+5 sl=- tp=15.0,1.6572423524963873,31.25002103480856,17.910364771067655,150.70683135466612,56.96698377168439,0.7750157842011556,0.9856169869974322,1787,5.0
plain T+2,1.8518305256720184,40.28933085005557,17.401590025813974,153.99393798041544,57.52658086177952,1.1598556063674106,0.9783658306638091,1787,2.0
runner T+5 if d1>3%,1.613623430802168,34.603367314006725,16.858015977422703,141.4728432401158,51.59485170677113,1.001820489874253,0.9778036511476587,1787,2.629546726357023
T+3 sl=- tp=15.0,1.7936257465150531,35.659475276225436,21.941576372880668,154.5745817657309,58.03021824286514,1.0039873224405695,0.9767621737049268,1787,3.0
T+3 sl=- tp=20.0,1.8324699466319885,38.83923566512904,21.3522565073348,162.43230279348188,57.63850027979854,1.075923721396955,0.964524571241985,1787,3.0
gd T+3/T+1 sl=15.0 tp=10.0,1.803628776668784,31.24899276771338,20.751333873168054,122.34465843390815,59.1494124230554,1.1117938369853098,0.9632383751262814,1787,2.186345831001679
reversal hold T+4 if d1>0,1.6341206852864791,39.06625653104876,24.925238791194726,149.26511771653767,47.2299944040291,0.9711963209065314,0.9584302771470546,1787,2.7174034695019587
T+3 sl=- tp=10.0,1.7187559345214558,30.864442759892952,17.950880239256527,137.71621051266675,60.32456631225518,0.9491373733092454,0.953603675321315,1787,3.0
T+5 sl=- tp=20.0,1.6728345971529124,33.26319463714946,16.94291108473105,161.14999176019867,56.463346390598765,0.8313387822179146,0.9392743550277075,1787,5.0
rev T+3 sl=15.0 tp=15.0,1.55056941959538,30.211496344321876,17.957252357905375,113.5637942444764,48.29322887520985,0.8739252393979381,0.9200320877765251,1787,2.144935646334639
conf T+3 if high/med,1.934871544976165,44.58434729423726,16.81856676255612,166.9779137992845,57.58254057078903,1.2308927503592038,0.9117037733952243,1787,2.535534415221041
T+1 sl=15.0 tp=10.0,1.640681757817103,27.90074096928976,14.297411169165608,104.6035398144319,57.694459988808056,1.0767084716545527,0.9020749138908738,1787,1.0
conf T+5 if high,1.8894011958696322,37.682444851023924,17.739996475674868,135.43886944362362,56.63122551762731,1.3255665864581199,0.8861395663838756,1787,1.3760492445439283
rev T+5 sl=15.0 tp=10.0,1.3157612587669842,20.97018417595409,18.15961902693398,97.42981838626014,50.08393956351427,0.5666885315254506,0.8710657712317439,1787,3.289871292669278
rev T+3 sl=15.0 tp=20.0,1.5402056078732065,31.597971441820594,20.907513875759165,120.38306470235902,47.90151091214326,0.9079915018068992,0.8639221206955153,1787,2.144935646334639
guidance T+5/T+1,1.7258758904025129,35.18073655884777,18.62344915383648,148.720511288117,56.29546726357023,1.063351232580059,0.8560384016016234,1787,3.3726916620033576
plain T+3,1.7827395642865884,40.1198402296465,20.288544911888597,169.13350930239477,57.30274202574147,1.1405257957767454,0.8520601426558401,1787,3.0
conf T+3 if high,1.7573398270694365,35.784784505279774,17.739996475674868,129.49136311981567,56.68718522663683,1.1769814522141506,0.8518779660778106,1787,1.1880246222719641
T+3 sl=- tp=30.0,1.8132488342678703,39.904516154180094,19.997009141284828,165.01601114093893,57.35870173475098,1.1636176749318365,0.8440530889825708,1787,3.0
guidance T+4/T+1,1.9183014983980113,41.49770606310958,18.751387254482832,161.07378856694842,57.19082260772244,1.3523236271512784,0.831620599734674,1787,2.7795187465025184
T+1 sl=- tp=30.0,1.8737932725356816,37.66157734568427,19.1922744373347,129.96348836597318,56.51930609960828,1.413243857929708,0.8235664632393617,1787,1.0
plain T+1,1.848851532639251,37.32616555125501,19.19227443733469,129.4291894018102,56.51930609960828,1.377483356564583,0.8138867858873576,1787,1.0
gd T+3/T+1 sl=15.0 tp=15.0,1.7309139527616784,32.33358215746733,23.38265718449567,125.24124835220525,57.134862898712925,1.0950815901663358,0.8130283716702867,1787,2.186345831001679
runner T+5 if d1>1%,1.4838430716194162,31.99494211228906,21.158514007584994,132.21496786983204,48.01343033016228,0.9473085709286369,0.8078763449278575,1787,3.063794068270845
rev T+5 sl=15.0 tp=15.0,1.2604965902830885,22.581263590997036,21.205922653682762,99.86358046676041,46.11080022383884,0.5981076717940087,0.7970627113320303,1787,3.289871292669278
reversal T+5 if d1>-1%,1.5276808309437029,32.798621487904356,18.013428520079167,130.022753670263,48.628987129266925,0.9763109794173449,0.7926180779527334,1787,3.5181869054280916
gd T+3/T+1 sl=15.0 tp=20.0,1.7659190113456598,34.380379057879075,22.414978504766168,134.30269299871904,56.96698377168439,1.1582140005753847,0.7805655668742979,1787,2.186345831001679
