hz,stop,tgt,bp,bp_train,bp_test,t_test,win%,stop%,tp%,wick%,dbp,sh_train,sh_test,arm
T+1,-,-,33.81612518377969,-2.6164580258247176,93.39913462027768,2.8722532143767734,52.11111111111111,0.0,0.0,0.0,0.0,0.09287751552782021,0.6222990820318262,tape
T+1,-,5%,28.70381196975011,-2.4594178734734338,79.66915272360181,3.440507311778713,63.0,0.0,52.55555555555556,0.0,-5.112313214029587,-0.062340557817325996,0.8780311871338138,tape
T+1,-,8%,37.25290378524202,1.0110775894216517,96.52394311281354,3.538402757119169,55.888888888888886,0.0,31.88888888888889,0.0,3.4367786014623447,0.006188119212000354,0.8711690277122054,tape
T+1,-,10%,35.20424319915915,-4.024172620699924,99.35964652387746,3.432977621402687,53.833333333333336,0.0,22.333333333333332,0.0,1.3881180153794621,-0.014789311191093602,0.8574892286638895,tape
T+1,-,15%,37.16301251699358,-1.6248364732864629,100.5978987866024,3.2521982385378285,52.44444444444445,0.0,8.055555555555555,0.0,3.34688733321389,0.07837178050165995,0.7854188701594303,tape
T+1,-,20%,39.56472399006045,4.91935189626529,96.22487132354388,3.0395435057789553,52.33333333333333,0.0,3.166666666666667,0.0,5.748598806280757,0.1590974975577167,0.7076626526051123,tape
T+1,-,0.5xEM,-13.6681967910678,-30.64807247301021,14.101233863001992,0.8216381704446344,78.94444444444444,0.0,77.16666666666666,0.0,-47.484321974847475,-0.5922458408806998,0.4034933383666111,tape
T+1,-,1xEM,9.784721580590919,-14.42187676655007,49.37296514392399,2.238218001183581,69.94444444444444,0.0,61.88888888888889,0.0,-24.03140360318876,-0.28422184953194196,0.6822985013291338,tape
T+1,-,1.5xEM,17.705214349427983,-13.700467435088132,69.06706874665272,2.7635007335908544,64.27777777777777,0.0,48.888888888888886,0.0,-16.110910834351706,-0.1380933993447791,0.7745580237890749,tape
T+1,2%,-,5.318509766944676,-4.957028576806481,22.123453149038436,1.1447285165159213,22.27777777777778,76.61111111111111,0.0,38.941261783901375,-28.497615416835046,-0.060691739163750265,0.2710154015727608,tape
T+1,2%,5%,2.748770820401892,-8.18591584786785,20.63170641111536,1.6457818357431961,31.61111111111111,67.61111111111111,29.333333333333332,38.78389482333608,-31.067354363377813,-0.2917756911692126,0.4832475502628888,tape
T+1,2%,8%,6.174829244017505,-3.1141457166538524,21.36631538028383,1.385946724588581,25.666666666666664,73.33333333333333,17.333333333333336,39.015151515151516,-27.641295939762212,-0.15966910021147224,0.38789311175053254,tape
T+1,2%,10%,6.8239976747804185,-3.059325631543888,22.987500065943287,1.3718829190307527,24.0,74.8888888888889,12.333333333333334,38.724035608308604,-26.992127508999307,-0.1434004228014162,0.3848187445730561,tape
